,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,5.0197221,0.168599188,5.019698,0.147032307,5.0197221,0.076369047,5.019698,0.111604802,5.019698,0.204994124,5.0197221,0.105820108,5.019698,0.45963547,5.0197221,0.2147991,5.019698,0.251299681,5.0197221,0.124788113,5.02,2.598076211,5.019698,0.067434015
1,5.039444201,0.122302396,5.039395999,0.212461866,5.039444201,0.218197649,5.039395999,0.178024361,5.039395999,0.230157977,5.039444201,0.103732721,5.039395999,0.078430113,5.039444201,0.202875733,5.039395999,0.2058808,5.039444201,0.060998803,5.039999999,0.366442685,5.039395999,0.415926121
2,5.059166301,0.165376418,5.059093999,0.383579777,5.059166301,0.04853646,5.059093999,0.015088813,5.059093999,0.183590953,5.059166301,0.10146645,5.059093999,0.008112758,5.059166301,0.018761911,5.059093999,0.152078,5.059166301,0.122845079,5.059999999,1.331617023,5.059093999,0.059868797
3,5.078888401,0.076025341,5.078791998,0.145730059,5.078888401,0.048467226,5.078791998,0.208133698,5.078791998,0.203036932,5.078888401,0.105766266,5.078791998,0.123073768,5.078888401,0.112378646,5.078791998,0.025474178,5.078888401,0.058501217,5.079999998,1.202553198,5.078791998,0.284305317
4,5.098610502,0.125608188,5.098489998,0.290448201,5.098610502,0.125711941,5.098489998,0.18946728,5.098489998,0.101720894,5.098610502,0.077543425,5.098489998,0.350506627,5.098610502,0.043454482,5.098489998,0.143533852,5.098610502,0.0801104,5.099999998,4.236067977,5.098489998,0.052894167
5,5.118332602,0.064821989,5.118187997,0.18621719,5.118332602,0.134566017,5.118187997,0.034296597,5.118187997,0.023295712,5.118332602,0.088943108,5.118187997,0.116597394,5.118332602,0.21071808,5.118187997,0.202020193,5.118332602,0.048783738,5.119999997,0.819204532,5.118187997,0.251301587
6,5.138054702,0.169293295,5.137885997,0.097576345,5.138054702,0.015291243,5.137885997,0.264742607,5.137885997,0.068820748,5.138054702,0.140073001,5.137885997,0.200061954,5.138054702,0.011236633,5.137885997,0.162070874,5.138054702,0.055320041,5.139999997,1.875132483,5.137885997,0.073250999
7,5.157776803,0.048916838,5.157583997,0.010861452,5.157776803,0.06635181,5.157583997,0.093375226,5.157583997,0.09742267,5.157776803,0.118499238,5.157583997,0.205050053,5.157776803,0.087625488,5.157583997,0.049887131,5.157776803,0.027174476,5.159999996,6.431715875,5.157583997,0.356273315
8,5.177498903,0.060835482,5.177281996,0.115814886,5.177498903,0.095103636,5.177281996,0.0379997,5.177281996,0.164583864,5.177498903,0.015460722,5.177281996,0.239793981,5.177498903,0.179964219,5.177281996,0.253985974,5.177498903,0.126606676,5.179999996,0.011045291,5.177281996,0.067240624
9,5.197221003,0.092569826,5.196979996,0.061902905,5.197221003,0.10099344,5.196979996,0.167863139,5.196979996,0.125277087,5.197221003,0.017097879,5.196979996,0.168457158,5.197221003,0.03095046,5.196979996,0.235850961,5.197221003,0.030484532,5.199999996,0.546848984,5.196979996,0.296440542
